City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port blair,11.6667,92.75,31.02,74,75,7.72,IN,1690613884
1,east london,-33.0153,27.9116,17.52,82,20,7.72,ZA,1690613884
2,edinburgh of the seven seas,-37.0676,-12.3116,14.58,84,100,12.95,SH,1690613885
3,seven pagodas,12.6264,80.1722,34.03,45,100,7.57,IN,1690613885
4,gerash,27.6652,54.1371,36.08,28,6,1.81,IR,1690613886
5,adamstown,-25.066,-130.1015,18.97,61,89,12.2,PN,1690613887
6,bandarbeyla,9.4942,50.8122,29.8,51,100,13.51,SO,1690613887
7,mitsamiouli,-11.3847,43.2844,26.16,65,20,2.06,KM,1690613887
8,puerto natales,-51.7236,-72.4875,0.43,93,62,2.2,CL,1690613888
9,tiksi,71.6872,128.8694,5.85,75,1,4.57,RU,1690613888
10,blackmans bay,-43.0167,147.3167,15.07,51,1,4.02,AU,1690613889
11,hasaki,35.7333,140.8333,34.06,73,6,7.23,JP,1690613889
12,port-aux-francais,-49.35,70.2167,3.78,78,49,13.87,TF,1690613890
13,geraldton,-28.7667,114.6,19.23,68,100,6.69,AU,1690613890
14,villamontes,-21.25,-63.5,12.45,80,0,1.64,BO,1690613890
15,invercargill,-46.4,168.35,10.57,84,85,0.45,NZ,1690614164
16,olonkinbyen,70.9221,-8.7187,5.8,91,100,3.33,SJ,1690613891
17,port lincoln,-34.7333,135.8667,15.42,70,0,9.1,AU,1690613892
18,potosi,-19.5836,-65.7531,0.81,94,1,1.03,BO,1690613892
19,margaret river,-33.95,115.0667,15.26,75,100,6.66,AU,1690613892
20,waitangi,-43.9535,-176.5597,10.46,96,99,2.68,NZ,1690613893
21,kingscliff,-28.2667,153.5667,20.98,56,10,3.6,AU,1690613893
22,albany,42.6001,-73.9662,23.74,86,100,1.15,US,1690613894
23,ilulissat,69.2167,-51.1,0.84,92,57,1.54,GL,1690613894
24,andergrove,-21.0833,149.1833,22.58,76,65,4.79,AU,1690613895
25,nova sintra,14.8667,-24.7167,21.85,78,19,9.45,CV,1690613895
26,bredasdorp,-34.5322,20.0403,9.82,86,100,9.01,ZA,1690613895
27,yashkul',46.1711,45.3435,25.48,49,1,10.24,RU,1690613896
28,iskateley,67.6803,53.1512,20.88,58,89,2.97,RU,1690613896
29,port mathurin,-19.6833,63.4167,23.43,78,7,6.04,MU,1690613897
30,ribeira grande,38.5167,-28.7,23.22,94,40,3.09,PT,1690613898
31,sisimiut,66.9395,-53.6735,5.95,87,98,2.4,GL,1690613898
32,ancud,-41.8697,-73.8203,11.43,91,100,7.93,CL,1690613899
33,wailua homesteads,22.0669,-159.378,26.44,80,40,8.23,US,1690613761
34,yeppoon,-23.1333,150.7333,21.88,76,15,3.81,AU,1690613900
35,at taj,24.2049,23.2857,33.78,21,1,6.74,LY,1690613900
36,whitehorse,60.7161,-135.0538,21.43,48,20,3.09,CA,1690613900
37,badger,64.8,-147.5333,24.95,66,0,3.6,US,1690613901
38,grytviken,-54.2811,-36.5092,-1.88,85,99,4.86,GS,1690613902
39,lihue,21.9789,-159.3672,26.77,74,40,8.23,US,1690613902
40,ushuaia,-54.8,-68.3,7.81,66,40,2.06,AR,1690613902
41,wenshui,28.4506,106.5267,25.83,83,88,1.1,CN,1690613903
42,isafjordur,66.0755,-23.124,7.29,93,99,2.85,IS,1690613903
43,kontcha,7.9667,12.2333,22.65,93,100,1.44,CM,1690613904
44,diffa,13.3154,12.6113,28.75,61,17,6.78,NE,1690613904
45,puerto aysen,-45.4,-72.7,8.71,93,99,3.91,CL,1690613905
46,miri,4.4148,114.0089,32.08,79,20,2.06,MY,1690613905
47,sharanga,57.1775,46.5396,26.85,60,36,4.83,RU,1690613906
48,dudinka,69.4058,86.1778,25.9,64,51,6.71,RU,1690613906
49,aliwal north,-30.6937,26.7114,15.85,37,100,9.19,ZA,1690613906
50,itoman,26.1247,127.6694,33.01,72,75,6.69,JP,1690613907
51,beloyarskiy,63.7119,66.6722,21.53,63,100,3.54,RU,1690613907
52,mwinilunga,-11.7358,24.4293,22.14,28,0,1.93,ZM,1690613908
53,stanley,54.868,-1.6985,15.44,84,40,3.09,GB,1690613908
54,papatowai,-46.5619,169.4708,9.51,81,99,1.86,NZ,1690613909
55,west island,-12.1568,96.8225,25.99,73,40,9.26,CC,1690613909
56,antonio enes,-16.2325,39.9086,25.19,60,5,0.45,MZ,1690613909
57,bajina basta,43.9708,19.5675,23.55,65,100,1.29,RS,1690613895
58,dunedin,-45.8742,170.5036,8.22,70,100,0.45,NZ,1690613685
59,iqaluit,63.7506,-68.5145,9.85,71,75,1.03,CA,1690613880
60,yulinshi,38.2906,109.7494,27.62,42,46,5.38,CN,1690613911
61,port elizabeth,-33.918,25.5701,14.16,88,0,4.12,ZA,1690613912
62,vila do maio,15.1333,-23.2167,25.44,78,14,8.74,CV,1690613912
63,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,77,20,7.0,RU,1690613913
